mutation_probability,result
0,96.36
5,96.4
10,96.32
15,96.28
20,96.42
25,96.4
30,96.5
35,96.22
40,96.28
45,96.26
50,96.3
55,96.24
60,96.32
65,96.34
70,96.24
75,96.36
80,96.34
85,96.24
90,96.5
95,96.22
