mutation_probability,result
0,96.38
5,96.22
10,96.26
15,96.26
20,96.38
25,96.42
30,96.18
35,96.28
40,96.38
45,96.36
50,96.48
55,96.26
60,96.38
65,96.28
70,96.3
75,96.28
80,96.32
85,96.36
90,96.32
95,96.38
